SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1 EstimatedTime,DAY1 SpentTime,DAY2 EstimatedTime,DAY2 SpentTime,DAY3 EstimatedTime,DAY3 SpentTime,DAY4 EstimatedTime,DAY4 SpentTime,DAY5 EstimatedTime,DAY5 SpentTime,DAY6 EstimatedTime,DAY6 SpentTime,DAY7 EstimatedTime,DAY7 SpentTime,DAY8 EstimatedTime,DAY8 SpentTime,DAY9 EstimatedTime,DAY9 SpentTime,DAY10 EstimatedTime,DAY10 SpentTime,DAY11 EstimatedTime,DAY11 SpentTime,DAY12 EstimatedTime,DAY12 SpentTime,DAY13 EstimatedTime,DAY13 SpentTime,DAY14 EstimatedTime,DAY14 SpentTime,DAY15 EstimatedTime,DAY15 SpentTime,DAY16 EstimatedTime,DAY16 SpentTime,DAY17 EstimatedTime,DAY17 SpentTime,DAY18 EstimatedTime,DAY18 SpentTime,DAY19 EstimatedTime,DAY19 SpentTime,DAY20 EstimatedTime,DAY20 SpentTime,DAY21 EstimatedTime,DAY21 SpentTime,DAY22 EstimatedTime,DAY22 SpentTime,DAY23 EstimatedTime,DAY23 SpentTime,DAY24 EstimatedTime,DAY24 SpentTime,DAY25 EstimatedTime,DAY25 SpentTime,DAY26 EstimatedTime,DAY26 SpentTime,DAY27 EstimatedTime,DAY27 SpentTime,DAY28 EstimatedTime,DAY28 SpentTime,DAY29 EstimatedTime,DAY29 SpentTime,DAY30 EstimatedTime,DAY30 SpentTime,DAY31 EstimatedTime,DAY31 SpentTime
,EG-55,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-56,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-57,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-58,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-59,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-60,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-61,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-62,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-63,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-64,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-65,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-66,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-67,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-68,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-69,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint 6,,,CLOSED,,,15/Jun/15 1:54 AM,03/Jul/15 11:54 PM,28/Jul/15 2:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-32,Story,,,18Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-33,Story,,,6Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-34,Story,,,36Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-37,Sub-task,,EG-34,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:36000
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
,EG-35,Story,,,18Hours,,,,,,,,,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:43200","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-36,Story,,,24Hours,,,,,,,,,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:43200","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-6,Sub-task,,EG-36,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:36000
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
