SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
,EG-41,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-42,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-43,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-44,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-45,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-46,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-47,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-48,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-49,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-50,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-51,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:summary
FromString:Linux-Prebuilt sample execution issue
ToString:Linux-Prebuilt sample execution failed",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-52,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:assignee
FromString:None
ToString:Pavan Ramayanam",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-53,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-54,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-55,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
